2023-02-09 20:33:18,Thailand,สโมสรฮาทายสปอร์ ได้รับผลกระทบอย่างหนักจากแผ่นดินไหว จนไม่สามารถเล่นในฤดูกาลนี้ได้อีก ปัจจุบันรั้งอันดับที่ 14 ตารางคะแนน และจะไม่ตกชั้นยังคงเล่นในลีกสูงสุดตุรกีต่อไปในฤดูกาลหน้า https://t.co/4QmzNinaW1
2023-02-09 17:58:28,in the fridge forever,นอกจากรีคลิปแผ่นดินไหวซ้ำๆ แล้วเรามีทางช่วยพวกเขาอีกมั้ย โดเนทอะไรงี้ คือยิ่งเห็นซ้ำๆ แล้วมันหดหู่สะเทือนใจเกินไป
2023-02-09 17:58:28,in the fridge forever,นอกจากรีคลิปแผ่นดินไหวซ้ำๆ แล้วเรามีทางช่วยพวกเขาอีกมั้ย โดเนทอะไรงี้ คือยิ่งเห็นซ้ำๆ แล้วมันหดหู่สะเทือนใจเกินไป
2023-02-09 15:20:51,,"กองอาสาสมัครอิรักต้านไอซิส (PMO) กำลังลำเลียงความช่วยเหลือด้านมนุษยธรรมล๊อตใหญ่ ไปให้กับผู้ประสบภัยแผ่นดินไหวที่ ซีเรีย

แม้จะมีการคว่ำบาตร แต่พวกเขาก็ไม่สนใจ

การที่ตะวันตกอ้างว่าช่วยไม่ได้เพราะติดคว่ำบาตร ผมว่าคุณเลือกที่จะไม่ทำมากกว่า คนจริงเขาทำเลยและไม่พูดเยอะ https://t.co/xhc69fCXLA"
2023-02-09 15:20:51,,"กองอาสาสมัครอิรักต้านไอซิส (PMO) กำลังลำเลียงความช่วยเหลือด้านมนุษยธรรมล๊อตใหญ่ ไปให้กับผู้ประสบภัยแผ่นดินไหวที่ ซีเรีย

แม้จะมีการคว่ำบาตร แต่พวกเขาก็ไม่สนใจ

การที่ตะวันตกอ้างว่าช่วยไม่ได้เพราะติดคว่ำบาตร ผมว่าคุณเลือกที่จะไม่ทำมากกว่า คนจริงเขาทำเลยและไม่พูดเยอะ https://t.co/xhc69fCXLA"
2023-02-09 12:47:01,"farewell,neverland","@japokquokka ประเทศของเราต่อสู้กับแผ่นดินไหวที่เกิดขึ้นเป็นเวลาสองวันแล้ว
 เราสูญเสียชีวิตและบาดเจ็บมากมาย
 ความช่วยเหลือใด ๆ ต่อประเทศของเราจะทำให้เรามีความสุขมาก ดังนั้นทุก ๆ การแบ่งปันเล็ก ๆ น้อย ๆ จึงช่วยได้มาก
 โปรดเป็นเสียงของเรา!

 #ArmyAssembleForTurkey"
2023-02-09 12:46:27,Thailand,@QueenXinee เคยเห็นผ่านทล.มาว่ารัฐเก็บภาษีเพิ่มเพื่อดูแลเรื่องแผ่นดินไหวโดยเฉพาะแต่พวกขรก.คอรัปชั่นเอาเงินไปใช้ส่วนตัวประมาณนี้ค่ะ
2023-02-09 12:46:25,,พี่ซึงซอกบริจาคเงินให้แผ่นดินไหวในตุรกี 10 ล้านวอนหรอ
2023-02-09 12:46:15,"Bangkok, Thailand",2 ผู้นำไต้หวันลั่นสละเงินเดือน! ช่วยผู้ประสบภัยแผ่นดินไหวในตุรกี https://t.co/szVqJG2KkF
2023-02-09 12:47:01,"farewell,neverland","@japokquokka ประเทศของเราต่อสู้กับแผ่นดินไหวที่เกิดขึ้นเป็นเวลาสองวันแล้ว
 เราสูญเสียชีวิตและบาดเจ็บมากมาย
 ความช่วยเหลือใด ๆ ต่อประเทศของเราจะทำให้เรามีความสุขมาก ดังนั้นทุก ๆ การแบ่งปันเล็ก ๆ น้อย ๆ จึงช่วยได้มาก
 โปรดเป็นเสียงของเรา!

 #ArmyAssembleForTurkey"
2023-02-09 12:46:27,Thailand,@QueenXinee เคยเห็นผ่านทล.มาว่ารัฐเก็บภาษีเพิ่มเพื่อดูแลเรื่องแผ่นดินไหวโดยเฉพาะแต่พวกขรก.คอรัปชั่นเอาเงินไปใช้ส่วนตัวประมาณนี้ค่ะ
2023-02-09 12:46:25,,พี่ซึงซอกบริจาคเงินให้แผ่นดินไหวในตุรกี 10 ล้านวอนหรอ
2023-02-09 12:46:15,"Bangkok, Thailand",2 ผู้นำไต้หวันลั่นสละเงินเดือน! ช่วยผู้ประสบภัยแผ่นดินไหวในตุรกี https://t.co/szVqJG2KkF
2023-02-09 10:13:01,Bangkok,"""แผ่นดินไหวตุรกี"" ล่าสุดยอดผู้เสียชีวิตทะลุ 16,000 รายแล้ว https://t.co/2YKzBPAWPV 

#แผ่นดินไหวตุรกี #แผ่นดินไหว #TNN #TNNThailand #TNNช่อง16 #TNNONLINE"
2023-02-09 10:12:17,"Bangkok, Thailand",รัฐบาลไทยมอบ 5 ล้านบาท ช่วยแผ่นดินไหวตุรกี ส่งทีมกู้ภัยฉุกเฉินร่วมภารกิจ https://t.co/eHRGJIJseF
2023-02-09 10:13:01,Bangkok,"""แผ่นดินไหวตุรกี"" ล่าสุดยอดผู้เสียชีวิตทะลุ 16,000 รายแล้ว https://t.co/2YKzBPAWPV 

#แผ่นดินไหวตุรกี #แผ่นดินไหว #TNN #TNNThailand #TNNช่อง16 #TNNONLINE"
2023-02-09 10:12:17,"Bangkok, Thailand",รัฐบาลไทยมอบ 5 ล้านบาท ช่วยแผ่นดินไหวตุรกี ส่งทีมกู้ภัยฉุกเฉินร่วมภารกิจ https://t.co/eHRGJIJseF
2023-02-09 07:38:11,,เห็นข่าวแผ่นดินไหวแล้วจะร้องทุกที น้ำตามา
2023-02-09 07:37:36,,"ลุงตู่มอบเงินช่วยเหลือประเทศตุรกี เหตุแผ่นดินไหว
#แผ่นดินไหว #แผ่นดินไหวตุรกี
#ดิวอริสรา #มาเก๊า888 https://t.co/mT7onnsjC9"
2023-02-09 07:38:11,,เห็นข่าวแผ่นดินไหวแล้วจะร้องทุกที น้ำตามา
2023-02-09 07:37:36,,"ลุงตู่มอบเงินช่วยเหลือประเทศตุรกี เหตุแผ่นดินไหว
#แผ่นดินไหว #แผ่นดินไหวตุรกี
#ดิวอริสรา #มาเก๊า888 https://t.co/mT7onnsjC9"
2023-02-09 05:03:06,- 11:11,แผ่นดินไหวหรอแต่มันแปบเดียวอะ สะพานลอยสั่น
2023-02-09 05:02:55,Land of Lies ... Bangkok,@moui แผ่นดินไหวเตือนล่วงหน้ายังไม่ได้ด้วย 😰
2023-02-09 05:03:06,- 11:11,แผ่นดินไหวหรอแต่มันแปบเดียวอะ สะพานลอยสั่น
2023-02-09 05:02:55,Land of Lies ... Bangkok,@moui แผ่นดินไหวเตือนล่วงหน้ายังไม่ได้ด้วย 😰
2023-02-09 02:29:03,,"จินยองบริจาคเงิน 30 ล้านวอน (797,046 บาท) เพื่อผู้ประสบภัยแผ่นดินไหวในตุรกีและซีเรีย แสนดีจริงๆเลย 
https://t.co/d2ImZhKxLH
#Jinyoung #진영 @JINYOUNG 
#GOT7 #갓세븐 @GOT7 https://t.co/d5OzNkbxZH"
2023-02-09 02:29:03,,จินยองได้บริจาคเงิน 30 ล้านวอน เพื่อช่วยเหลือผู้ประสบภัยจากเหตุการณ์แผ่นดินไหวในตุรกีและซีเรีย งื้อๆๆแสนดีไม่ไหว 🥹🥹 https://t.co/AN7Irod9wq
